Id,Name,Year,Genre,DirectedBy,ProducedBy,Music,StoryBy,Company
movie-691,"Nighthawks",1981,Action,Bruce Malmuth,Franklin R. Levy,Keith Emerson,David Shaber,Universal Pictures
movie-692,"Attack of the Show!",2005,News,Alan Wu,Michael Wardlow,Frank Meyer,Josh Flaum,G4 Media
movie-693,"Attack the Block",2011,Action,Joe Cornish,James Biddle,Steven Price,Joe Cornish,Astaire
movie-694,"Attila",2001,Action,Dick Lowry,Caldecot Chubb,Nick Glennie-Smith,Robert Cochran,USA Network
movie-695,"Au coeur du mensonge",1999,Crime,Claude Chabrol,Marin Karmitz,Matthieu Chabrol,Odile Barski,MK2 Diffusion
movie-696,"Au hasard Balthazar",1966,Drama,Robert Bresson,Mag Bodard,Jean Wiener,Robert Bresson,Columbia Pictures of Canada
movie-697,"Auch Zwerge haben klein angefangen",1970,Comedy,Werner Herzog,Werner Herzog,Florian Fricke,Werner Herzog,New Line Cinema
movie-698,"Auf Wiedersehen, Pet",1983,Comedy,Roger Bamford,Martin McKeand,David Mackay,Franc Roddam,British Broadcasting Corporation (BBC)
movie-699,"Auf der anderen Seite",2007,Drama,Fatih Akin,Ali Akdeniz,Shantel,Fatih Akin,A-Film Distribution
movie-700,"Aufschneider",2010,Comedy,David Schalko,John L?ftner,Stefan Jungmair,Josef Hader,Hoanzl
movie-701,"August Rush",2007,Drama,Kirsten Sheridan,Louise Goodsill,Mark Mancina,Nick Castle,Warner Bros.
movie-702,"August: Osage County",2013,Drama,John Wells,Ron Burkle,Gustavo Santaolalla,Tracy Letts,Asmik Ace
movie-703,"Auntie Mame",1958,Comedy,Morton DaCosta,Morton DaCosta,Bronislau Kaper,Betty Comden,Warner Bros.
movie-704,"Aurore",2005,Drama,Luc Dionne,Daniel Louis,Michel Cusson,Luc Dionne,Alliance Atlantis Vivafilm
movie-705,"Aus dem Leben der Marionetten",1980,Drama,Ingmar Bergman,Ingmar Bergman,Rolf A. Wilhelm,Ingmar Bergman,Associated Film Distribution (AFD)
movie-706,"Austin Powers: International Man of Mystery",1997,Comedy,Jay Roach,Eric McLeod,George S. Clinton,Mike Myers,Alliance Atlantis Communications
movie-707,"Austin Powers: The Spy Who Shagged Me",1999,Action,Jay Roach,Emma Chasin,George S. Clinton,Mike Myers,Alliance Atlantis Communications
movie-708,"Australia",2008,Adventure,Baz Luhrmann,G. Mac Brown,David Hirschfelder,Stuart Beattie,20th Century Fox Netherlands
movie-709,"Auto Focus",2002,Biography,Paul Schrader,Scott Alexander,Angelo Badalamenti,Robert Graysmith,Sony Pictures Classics
movie-710,"Autograph",2010,Drama,Srijit Mukherji,Preetam Chowdhury,Debajyoti Mishra,Srijit Mukherji,Shree Venkatesh Films
movie-711,"Autoreiji",2010,Crime,Takeshi Kitano,Makoto Kakurai,Keiichi Suzuki,Takeshi Kitano,Mediatres Estudio
movie-712,"Av mevsimi",2010,Crime,Yavuz Turgul,Murat Akdilek,Tamer Ciray,Yavuz Turgul,Fida Film
movie-713,"Avalon",1990,Drama,Barry Levinson,Mark Johnson,Randy Newman,Barry Levinson,TriStar Pictures
movie-714,"Avatar",2009,Action,James Cameron,Brooke Breton,James Horner,James Cameron,Twentieth Century Fox Film Corporation
movie-715,"Avatar: The Last Airbender",2005,Animation,Giancarlo Volpe,Michael Dante DiMartino,Benjamin Wynn,Michael Dante DiMartino,Nickelodeon Network
movie-716,"Avaze gonjeshk-ha",2008,Drama,Majid Majidi,Majid Majidi,Hossein Alizadeh,Mehran Kashani,E1 Entertainment
movie-717,"Avengers: Age of Ultron",2015,Action,Joss Whedon,Victoria Alonso,Danny Elfman,Joss Whedon,B&H Film Distribution
movie-718,"Avenida Brasil",2012,Comedy,Andr? C?mara,<none>,Eduardo Queiroz,Jo?o Emanuel Carneiro,MTVA
movie-719,"Avrupa Yakasi",2004,Comedy,Jale Atabey ?zberk,Doruk Cetin,Cenk Durmazel,G?lse Birsel,ATV
movie-720,"Awaara",1951,Drama,Raj Kapoor,Raj Kapoor,Jaikishan Dayabhai Panchal,Khwaja Ahmad Abbas,J.H. Hoffberg Company
movie-721,"Awake",2007,Crime,Joby Harold,Kelly Carmichael,Graeme Revell,Joby Harold,Metro-Goldwyn-Mayer (MGM)
movie-722,"Awakenings",1990,Biography,Penny Marshall,Elliot Abbott,Randy Newman,Oliver Sacks,Columbia Pictures
movie-723,"Away We Go",2009,Comedy,Sam Mendes,Pippa Harris,Alexi Murdoch,Dave Eggers,A-Film Distribution
movie-724,"Away from Her",2006,Drama,Sarah Polley,Atom Egoyan,Jonathan Goldsmith,Sarah Polley,A-Film Distribution
movie-725,"Awkward.",2011,Comedy,Lauren Iungerich,Robert West,Brad Joseph Breeck,Lauren Iungerich,Music Television (MTV)
movie-726,"?Ay, Carmela!",1990,Drama,Carlos Saura,Andr?s Vicente G?mez,Alejandro Mass?,Rafael Azcona,Cineplex Odeon Films
movie-727,"Ayalum Njanum Thammil...",2012,Drama,Lal Jose,Prem Prakash,Ouseppachan,Bobby,Century Films
movie-728,"Ayan",2009,Action,Anand K.V.,Aparna Guhan,Harris Jayaraj,A.N. Balakrishnan,Sun Pictures
movie-729,"?t?dik pecs?t, Az",1976,Drama,Zolt?n F?bri,<none>,Gy?rgy Vuk?n,Zolt?n F?bri,Facets Multimedia Distribution
movie-730,"Azul y no tan rosa",2012,Drama,Miguel Ferrari,Rodolfo Cova,Sergio de la Puente,Miguel Ferrari,TLA Releasing
movie-731,"Azuloscurocasinegro",2006,Drama,Daniel S?nchez Ar?valo,Jos? Antonio F?lez,Pascal Gaigne,Daniel S?nchez Ar?valo,A-Film Distribution
movie-732,"Azumanga dai?",2002,Animation,Hiroshi Nishikiori,Shin'ichi Ikeda,Masaki Kurihara,Kiyohiko Azuma,ADV Films
